Number_of_Riders,Number_of_Drivers,Number_of_Past_Rides,Average_Ratings,Expected_Ride_Duration,Historical_Cost_of_Ride,Location_Category_Suburban,Location_Category_Urban,Customer_Loyalty_Status_Regular,Customer_Loyalty_Status_Silver,Time_of_Booking_Evening,Time_of_Booking_Morning,Time_of_Booking_Night,Vehicle_Type_Premium,price_ratio,adjusted_price
90,45,13,4.47,90,284.25727302188227,False,True,False,True,False,False,True,True,0.5,372.5026233496332
58,39,72,4.06,43,173.87475274940766,True,False,False,True,True,False,False,False,0.2388888888888889,275.2380494750068
42,31,0,3.99,76,329.7954689622466,False,False,False,True,False,False,False,True,0.4222222222222222,343.5301970891062
89,28,67,4.31,134,470.2012317513198,False,False,True,False,False,False,False,True,0.7444444444444445,463.5588201684325
78,22,74,3.77,149,579.6814223640141,False,False,True,False,False,False,False,False,0.8277777777777777,494.60070544756854
59,35,83,3.51,128,339.9553606047221,False,True,False,True,False,False,True,False,0.7111111111111111,451.14206605677805
93,43,44,4.41,16,104.06154127359152,True,False,True,False,False,False,False,True,0.08888888888888889,219.36265597256178
62,39,83,3.59,47,235.81186355605,False,False,False,False,False,False,False,True,0.2611111111111111,283.51588554944306
79,14,71,3.74,128,501.4125174833056,False,False,False,True,True,False,False,False,0.7111111111111111,451.14206605677805
42,6,21,3.85,128,398.9933645706103,False,False,False,True,False,False,True,True,0.7111111111111111,451.14206605677805
86,17,99,4.69,167,669.2986264658781,False,True,True,False,False,True,False,False,0.9277777777777778,531.8509677825318
60,38,15,4.14,144,414.9901047325251,False,False,False,False,True,False,False,True,0.8,484.25341035452317
24,8,50,4.12,164,490.41072171830416,False,False,False,False,False,True,False,False,0.9111111111111111,525.6425907267046
36,24,88,4.22,83,296.24287599192223,True,False,False,True,False,False,True,True,0.46111111111111114,358.01641021936973
63,13,74,4.95,102,327.0888648717375,False,False,True,False,False,False,False,True,0.5666666666666667,397.33613157294207
39,12,30,4.51,140,445.1368684239125,False,True,False,True,False,False,False,True,0.7777777777777778,475.97557428008685
38,28,35,3.93,54,244.5361718306458,False,False,False,True,False,False,False,True,0.3,298.0020986797066
46,14,21,4.71,15,47.31430863361691,True,False,False,True,False,False,False,False,0.08333333333333333,217.29319695395267
33,7,49,4.31,22,129.8082629093964,True,False,False,False,True,False,False,True,0.12222222222222222,231.77941008421624
31,7,24,4.82,87,382.9481103198511,True,False,False,True,True,False,False,True,0.48333333333333334,366.294246293806
96,45,6,4.95,11,82.77279318243978,False,True,True,False,False,False,False,True,0.06111111111111111,209.0153608795164
22,11,79,4.48,15,64.07117255500656,True,False,False,True,False,False,True,False,0.08333333333333333,217.29319695395267
74,16,6,3.97,139,390.6687658288554,False,False,True,False,False,True,False,False,0.7722222222222223,473.9061152614778
24,12,10,3.6,45,212.1665249737545,False,True,True,False,True,False,False,True,0.25,279.3769675122249
48,19,72,3.81,65,235.65813370551408,True,False,False,False,False,False,True,True,0.3611111111111111,320.7661478844064
56,13,36,4.81,162,406.5574980533908,False,False,True,False,True,False,False,False,0.9,521.5036726894865
72,33,66,4.39,30,182.4744270596517,False,False,False,False,False,True,False,True,0.16666666666666666,248.3350822330888
97,75,76,4.7,158,652.617297300081,False,True,False,True,False,False,True,False,0.8777777777777778,513.2258366150502
62,33,39,3.91,129,403.22709836941993,True,False,True,False,True,False,False,True,0.7166666666666667,453.2115250753871
57,38,54,4.1,131,537.7848594528473,True,False,False,True,False,False,True,True,0.7277777777777777,457.35044311260526
25,7,13,3.99,81,286.13145256368455,True,False,False,True,False,True,False,True,0.45,353.8774921821515
75,56,94,4.79,153,485.0546633356366,True,False,False,False,True,False,False,True,0.85,502.87854152200487
39,9,39,4.64,48,171.0859835160851,False,True,False,False,False,False,False,True,0.26666666666666666,285.5853445680521
