Number_of_Riders,Number_of_Drivers,Location_Category,Time_of_Booking,Vehicle_Type,Static_Price,ML_Predicted_Price,Revenue_Lift,Revenue_Lift_Pct
90,45,Urban,Night,Premium,284.25727302188227,340.76867618601744,56.511403164135174,19.880371947346763
58,39,Suburban,Evening,Economy,173.87475274940766,158.66201363261843,-15.212739116789237,-8.749251329613212
42,31,Rural,Afternoon,Premium,329.7954689622466,291.22508428944315,-38.57038467280347,-11.695243962620609
89,28,Rural,Afternoon,Premium,470.2012317513198,503.5786187355521,33.37738698423226,7.098532443208253
78,22,Rural,Afternoon,Economy,579.6814223640141,541.2432984145627,-38.43812394945144,-6.630904918894228
59,35,Urban,Night,Economy,339.9553606047221,462.1104956623363,122.15513505761419,35.9326985873443
93,43,Suburban,Afternoon,Premium,104.06154127359152,101.56849473920592,-2.4930465343855985,-2.395742465346588
62,39,Rural,Afternoon,Premium,235.81186355605,240.0652531330534,4.253389577003389,1.8037216248844083
79,14,Rural,Evening,Economy,501.4125174833056,453.12042868351915,-48.29208879978643,-9.631209257035412
42,6,Rural,Night,Premium,398.9933645706103,429.67092973802255,30.67756516741224,7.688740688814938
86,17,Urban,Morning,Economy,669.2986264658781,536.2589418835507,-133.03968458232737,-19.877477604402337
60,38,Rural,Evening,Premium,414.9901047325251,479.1006875098453,64.11058277732019,15.448701558472482
24,8,Rural,Morning,Economy,490.41072171830416,536.6551966831403,46.244474964836115,9.429743869139816
36,24,Suburban,Night,Premium,296.24287599192223,326.2944129774339,30.05153698551169,10.144222670296758
63,13,Rural,Afternoon,Premium,327.0888648717375,383.3674085178861,56.27854364614859,17.205887968157306
39,12,Urban,Afternoon,Premium,445.1368684239125,469.2863590540923,24.1494906301798,5.425183206164305
38,28,Rural,Afternoon,Premium,244.5361718306458,239.96928776803045,-4.566884062615344,-1.8675699502559286
46,14,Suburban,Afternoon,Economy,47.31430863361691,82.90428154135243,35.58997290773552,75.22031693061405
33,7,Suburban,Evening,Premium,129.8082629093964,143.70637902210743,13.898116112711023,10.706649793481663
31,7,Suburban,Evening,Premium,382.9481103198511,346.89312601588676,-36.05498430396432,-9.415109601624613
96,45,Urban,Afternoon,Premium,82.77279318243978,102.54030340006666,19.767510217626878,23.881651757307797
22,11,Suburban,Night,Economy,64.07117255500656,71.32690177740908,7.255729222402522,11.324483278612256
74,16,Rural,Morning,Economy,390.6687658288554,438.9237423168432,48.25497648798779,12.351890068715496
24,12,Urban,Evening,Premium,212.16652497375452,229.40252440602364,17.235999432269125,8.123807200217497
48,19,Suburban,Night,Premium,235.65813370551408,255.77195199156563,20.113818286051554,8.535168283725111
56,13,Rural,Evening,Economy,406.5574980533908,608.6221701679477,202.0646721145569,49.70137633226505
72,33,Rural,Morning,Premium,182.4744270596517,167.6204239734197,-14.854003086232012,-8.140320441382272
97,75,Urban,Night,Economy,652.617297300081,622.4830683280737,-30.134228972007236,-4.617442580310764
62,33,Suburban,Evening,Premium,403.22709836941993,476.57429349603757,73.34719512661763,18.190046111290858
57,38,Suburban,Night,Premium,537.7848594528473,506.3796549846857,-31.40520446816157,-5.8397338482369765
25,7,Suburban,Morning,Premium,286.13145256368455,329.9390934364259,43.80764087274133,15.310319952676654
75,56,Suburban,Evening,Premium,485.0546633356366,627.0072574696369,141.95259413400032,29.265277681863118
39,9,Urban,Afternoon,Premium,171.0859835160851,208.90004511252263,37.81406159643754,22.10237263117604
35,24,Suburban,Evening,Premium,485.8784537318511,377.7494876302936,-108.12896610155752,-22.254324156804913
68,32,Suburban,Morning,Economy,294.7328864777875,297.81179017184695,3.078903694059477,1.0446420590704995
96,43,Rural,Morning,Premium,392.83872040801793,411.5576196177799,18.718899209761958,4.765034157101359
