Number_of_Riders,Number_of_Drivers,Location_Category,Time_of_Booking,Vehicle_Type,Static_Price,ML_Predicted_Price_Improved,Revenue_Lift_Improved,Revenue_Lift_Pct_Improved
90,45,Urban,Night,Premium,284.25727302188227,359.8513607258018,75.59408770391951,26.593545663860723
58,39,Suburban,Evening,Economy,173.87475274940766,174.64806033049655,0.7733075810888863,0.44474978043729857
42,31,Rural,Afternoon,Premium,329.7954689622466,307.96021524487077,-21.83525371737585,-6.620847092315706
89,28,Rural,Afternoon,Premium,470.2012317513198,524.8441739761265,54.64294222480669,11.621182280038404
78,22,Rural,Afternoon,Economy,579.6814223640141,554.8228602638187,-24.8585621001954,-4.288314432920593
59,35,Urban,Night,Economy,339.9553606047221,450.9292252309071,110.97386462618499,32.643657811067186
93,43,Suburban,Afternoon,Premium,104.06154127359152,120.77465907653624,16.713117802944723,16.060801712520988
62,39,Rural,Afternoon,Premium,235.81186355605,227.14604708928263,-8.665816466767382,-3.6748857059549964
79,14,Rural,Evening,Economy,501.4125174833056,449.63292511228565,-51.77959237101993,-10.326745058322945
42,6,Rural,Night,Premium,398.9933645706103,426.11709891706477,27.123734346454455,6.798041460074041
86,17,Urban,Morning,Economy,669.2986264658781,537.7483606618719,-131.55026580400624,-19.654943339512872
60,38,Rural,Evening,Premium,414.9901047325251,492.696921248014,77.70681651548892,18.72498057889201
24,8,Rural,Morning,Economy,490.41072171830416,536.8154262089196,46.404704490615416,9.462416386008512
36,24,Suburban,Night,Premium,296.24287599192223,325.49280528772795,29.249929295805714,9.873631289146438
63,13,Rural,Afternoon,Premium,327.0888648717375,375.00853772981424,47.91967285807675,14.650352856514287
39,12,Urban,Afternoon,Premium,445.1368684239125,457.03453281750024,11.897664393587718,2.672810373068748
38,28,Rural,Afternoon,Premium,244.5361718306458,251.08993547025116,6.553763639605364,2.6800794297803074
46,14,Suburban,Afternoon,Economy,47.31430863361691,69.75830328306049,22.443994649443574,47.43595605135202
33,7,Suburban,Evening,Premium,129.8082629093964,144.2537177549772,14.445454845580798,11.12830148236668
31,7,Suburban,Evening,Premium,382.9481103198511,345.94735416946145,-37.000756150389634,-9.662080880745268
96,45,Urban,Afternoon,Premium,82.77279318243978,108.15658232801259,25.383789145572806,30.666826827535367
22,11,Suburban,Night,Economy,64.07117255500656,78.40113918343016,14.329966628423605,22.36570060602684
74,16,Rural,Morning,Economy,390.6687658288554,454.4820609728333,63.81329514397794,16.334373445133142
24,12,Urban,Evening,Premium,212.16652497375452,227.6744773180771,15.507952344322575,7.30933041686993
