number_of_riders,number_of_drivers,location_category,customer_loyalty_status,number_of_past_rides,average_ratings,time_of_booking,vehicle_type,expected_ride_duration,historical_cost_of_ride,Predicted_XGB_Tuned,Predicted_LGB_Tuned,Static_Revenue,Dynamic_Revenue_XGB,Dynamic_Revenue_LGB
90,45,Urban,Silver,13,4.47,Night,Premium,90,284.25727302188227,358.43234,342.64188424696187,284.25727302188227,358.43234,342.64188424696187
58,39,Suburban,Silver,72,4.06,Evening,Economy,43,173.87475274940766,156.39856,152.39941237194907,173.87475274940766,156.39856,152.39941237194907
42,31,Rural,Silver,0,3.99,Afternoon,Premium,76,329.7954689622466,314.6716,327.87275906588457,329.7954689622466,314.6716,327.87275906588457
89,28,Rural,Regular,67,4.31,Afternoon,Premium,134,470.2012317513198,511.8404,501.22127279045156,470.2012317513198,511.8404,501.22127279045156
78,22,Rural,Regular,74,3.77,Afternoon,Economy,149,579.6814223640141,557.60376,578.6148683844649,579.6814223640141,557.60376,578.6148683844649
59,35,Urban,Silver,83,3.51,Night,Economy,128,339.9553606047221,450.8453,409.1203212509768,339.9553606047221,450.8453,409.1203212509768
93,43,Suburban,Regular,44,4.41,Afternoon,Premium,16,104.06154127359152,108.5268,93.05350569658243,104.06154127359152,108.5268,93.05350569658243
62,39,Rural,Gold,83,3.59,Afternoon,Premium,47,235.81186355605,227.48349,224.2183820592277,235.81186355605,227.48349,224.2183820592277
79,14,Rural,Silver,71,3.74,Evening,Economy,128,501.4125174833056,463.64578,468.24501482447596,501.4125174833056,463.64578,468.24501482447596
42,6,Rural,Silver,21,3.85,Night,Premium,128,398.9933645706103,433.54688,416.6995382866957,398.9933645706103,433.54688,416.6995382866957
86,17,Urban,Regular,99,4.69,Morning,Economy,167,669.2986264658781,605.74774,598.5335946784558,669.2986264658781,605.74774,598.5335946784558
60,38,Rural,Gold,15,4.14,Evening,Premium,144,414.9901047325251,500.2618,457.29114185952903,414.9901047325251,500.2618,457.29114185952903
24,8,Rural,Gold,50,4.12,Morning,Economy,164,490.41072171830416,538.40594,510.51085643894646,490.41072171830416,538.40594,510.51085643894646
36,24,Suburban,Silver,88,4.22,Night,Premium,83,296.24287599192223,333.8325,319.37740336717695,296.24287599192223,333.8325,319.37740336717695
63,13,Rural,Regular,74,4.95,Afternoon,Premium,102,327.0888648717375,377.03085,363.7597983647936,327.0888648717375,377.03085,363.7597983647936
39,12,Urban,Silver,30,4.51,Afternoon,Premium,140,445.1368684239125,492.2756,463.29492511015013,445.1368684239125,492.2756,463.29492511015013
38,28,Rural,Silver,35,3.93,Afternoon,Premium,54,244.5361718306458,242.51103,233.87149693188013,244.5361718306458,242.51103,233.87149693188013
46,14,Suburban,Silver,21,4.71,Afternoon,Economy,15,47.31430863361691,69.09106,65.55510575885084,47.31430863361691,69.09106,65.55510575885084
33,7,Suburban,Gold,49,4.31,Evening,Premium,22,129.8082629093964,129.89523,134.39295663560284,129.8082629093964,129.89523,134.39295663560284
31,7,Suburban,Silver,24,4.82,Evening,Premium,87,382.9481103198511,344.18848,348.6653065422523,382.9481103198511,344.18848,348.6653065422523
96,45,Urban,Regular,6,4.95,Afternoon,Premium,11,82.77279318243978,94.60769,81.57630360595012,82.77279318243978,94.60769,81.57630360595012
22,11,Suburban,Silver,79,4.48,Night,Economy,15,64.07117255500656,63.546627,73.99047601105379,64.07117255500656,63.546627,73.99047601105379
74,16,Rural,Regular,6,3.97,Morning,Economy,139,390.6687658288554,443.18478,419.54644324186864,390.6687658288554,443.18478,419.54644324186864
24,12,Urban,Regular,10,3.6,Evening,Premium,45,212.1665249737545,222.654,209.70987931181517,212.1665249737545,222.654,209.70987931181517
48,19,Suburban,Gold,72,3.81,Night,Premium,65,235.65813370551408,255.04143,239.32535940899157,235.65813370551408,255.04143,239.32535940899157
56,13,Rural,Regular,36,4.81,Evening,Economy,162,406.5574980533908,562.0374,532.7404207950101,406.5574980533908,562.0374,532.7404207950101
72,33,Rural,Gold,66,4.39,Morning,Premium,30,182.4744270596517,168.44606,166.0519203837011,182.4744270596517,168.44606,166.0519203837011
97,75,Urban,Silver,76,4.7,Night,Economy,158,652.617297300081,648.25934,662.0888301273527,652.617297300081,648.25934,662.0888301273527
62,33,Suburban,Regular,39,3.91,Evening,Premium,129,403.22709836941993,462.62793,436.9268922551379,403.22709836941993,462.62793,436.9268922551379
57,38,Suburban,Silver,54,4.1,Night,Premium,131,537.7848594528473,513.13763,534.2399634793014,537.7848594528473,513.13763,534.2399634793014
25,7,Suburban,Silver,13,3.99,Morning,Premium,81,286.13145256368455,317.99783,302.35747295967155,286.13145256368455,317.99783,302.35747295967155
75,56,Suburban,Gold,94,4.79,Evening,Premium,153,485.0546633356366,551.8046,524.5737561348221,485.0546633356366,551.8046,524.5737561348221
39,9,Urban,Gold,39,4.64,Afternoon,Premium,48,171.0859835160851,208.13878,195.76414561202682,171.0859835160851,208.13878,195.76414561202682
35,24,Suburban,Gold,73,3.76,Evening,Premium,105,485.8784537318511,396.3758,423.8278249068684,485.8784537318511,396.3758,423.8278249068684
68,32,Suburban,Regular,34,3.58,Morning,Economy,77,294.7328864777875,287.62698,292.48298295081963,294.7328864777875,287.62698,292.48298295081963
96,43,Rural,Silver,97,3.68,Morning,Premium,91,392.83872040801793,395.70917,408.4820572627824,392.83872040801793,395.70917,408.4820572627824
28,11,Suburban,Gold,52,4.33,Afternoon,Premium,94,456.1809467866996,381.72916,413.4641221135443,456.1809467866996,381.72916,413.4641221135443
25,15,Rural,Gold,65,4.88,Evening,Premium,101,502.5293207873477,440.6185,457.20723531714583,502.5293207873477,440.6185,457.20723531714583
