number_of_riders,number_of_drivers,location_category,customer_loyalty_status,number_of_past_rides,average_ratings,time_of_booking,vehicle_type,expected_ride_duration,historical_cost_of_ride,is_urban,is_silver,is_peak_hour,demand_ratio,dynamic_price,static_revenue,dynamic_revenue
90,45,Urban,Silver,13,4.47,Night,Premium,90,284.25727302188227,True,True,False,1.4907573047107932,306.23036022647375,25583.154571969404,27560.732420382636
58,39,Suburban,Silver,72,4.06,Evening,Economy,43,173.87475274940766,False,True,True,0.9607102630358444,218.0389399477572,10084.735659465645,12646.258516969918
42,31,Rural,Silver,0,3.99,Afternoon,Premium,76,329.7954689622466,False,True,False,0.6956867421983701,375.96683461696114,13851.409696414357,15790.607053912368
89,28,Rural,Regular,67,4.31,Afternoon,Premium,134,470.2012317513198,False,False,False,1.474193334658451,564.2414781015838,41847.90962586746,50217.491551040956
78,22,Rural,Regular,74,3.77,Afternoon,Economy,149,579.6814223640141,False,False,False,1.2919896640826873,695.6177068368169,45215.1509443931,54258.18113327172
59,35,Urban,Silver,83,3.51,Night,Economy,128,339.9553606047221,True,True,False,0.9772742330881866,366.2339099794671,20057.366275678603,21607.80068878856
93,43,Suburban,Regular,44,4.41,Afternoon,Premium,16,104.06154127359152,False,False,False,1.5404492148678195,124.87384952830982,9677.723338444011,11613.268006132814
62,39,Rural,Gold,83,3.59,Afternoon,Premium,47,235.81186355605,False,False,False,1.026966143245213,282.97423626726,14620.3355404751,17544.402648570118
79,14,Rural,Silver,71,3.74,Evening,Economy,128,501.4125174833056,False,True,True,1.3085536341350295,628.7712969240652,39611.58888118114,49672.932457001145
42,6,Rural,Silver,21,3.85,Night,Premium,128,398.9933645706103,False,True,False,0.6956867421983701,409.3671920494462,16757.721311965634,17193.42206607674
86,17,Urban,Regular,99,4.69,Morning,Economy,167,669.2986264658781,True,False,True,1.4245014245014245,927.6478962817071,57559.681876065515,79777.7190802268
60,38,Rural,Gold,15,4.14,Evening,Premium,144,414.9901047325251,False,False,True,0.9938382031405287,547.7869382469331,24899.406283951506,32867.21629481599
24,8,Rural,Gold,50,4.12,Morning,Economy,164,490.41072171830416,False,False,True,0.3975352812562115,458.53402480661435,11769.8573212393,11004.816595358745
36,24,Suburban,Silver,88,4.22,Night,Premium,83,296.24287599192223,False,True,False,0.5963029218843172,303.94519076771223,10664.7435357092,10942.02686763764
63,13,Rural,Regular,74,4.95,Afternoon,Premium,102,327.0888648717375,False,False,False,1.0435301132975552,392.50663784608497,20606.59848691946,24727.918184303355
39,12,Urban,Silver,30,4.51,Afternoon,Premium,140,445.1368684239125,True,True,False,0.6459948320413437,532.8288315034233,17360.337868532588,20780.32442863351
38,28,Rural,Silver,35,3.93,Afternoon,Premium,54,244.5361718306458,False,True,False,0.6294308619890016,278.7712358869362,9292.37452956454,10593.306963703577
46,14,Suburban,Silver,21,4.71,Afternoon,Economy,15,47.31430863361691,False,True,False,0.7619426224077387,53.93831184232327,2176.458197146378,2481.1623447468705
33,7,Suburban,Gold,49,4.31,Evening,Premium,22,129.8082629093964,False,False,True,0.5466110117272908,171.34690704040327,4283.672676010081,5654.447932333308
31,7,Suburban,Silver,24,4.82,Evening,Premium,87,382.9481103198511,False,True,True,0.5134830716226065,480.2169303410933,11871.391419915384,14886.724840573892
96,45,Urban,Regular,6,4.95,Afternoon,Premium,11,82.77279318243978,True,False,False,1.590141125024846,104.29371940987413,7946.188145514219,10012.197063347916
22,11,Suburban,Silver,79,4.48,Night,Economy,15,64.07117255500656,False,True,False,0.3644073411515272,46.56372465435102,1409.5657962101443,1024.4019423957225
