Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride
90,45,2,2,13,4.47,3,1,90,284.25727302188227
58,39,1,2,72,4.06,1,0,43,173.87475274940766
42,31,0,2,0,3.99,0,1,76,329.7954689622466
89,28,0,1,67,4.31,0,1,134,470.2012317513198
78,22,0,1,74,3.77,0,0,149,579.6814223640141
59,35,2,2,83,3.51,3,0,128,339.9553606047221
93,43,1,1,44,4.41,0,1,16,104.06154127359152
62,39,0,0,83,3.59,0,1,47,235.81186355605
79,14,0,2,71,3.74,1,0,128,501.4125174833056
42,6,0,2,21,3.85,3,1,128,398.9933645706103
86,17,2,1,99,4.69,2,0,167,669.2986264658781
60,38,0,0,15,4.14,1,1,144,414.9901047325251
24,8,0,0,50,4.12,2,0,164,490.41072171830416
36,24,1,2,88,4.22,3,1,83,296.24287599192223
63,13,0,1,74,4.95,0,1,102,327.0888648717375
39,12,2,2,30,4.51,0,1,140,445.1368684239125
38,28,0,2,35,3.93,0,1,54,244.5361718306458
46,14,1,2,21,4.71,0,0,15,47.31430863361691
33,7,1,0,49,4.31,1,1,22,129.8082629093964
31,7,1,2,24,4.82,1,1,87,382.9481103198511
96,45,2,1,6,4.95,0,1,11,82.77279318243978
22,11,1,2,79,4.48,3,0,15,64.07117255500656
74,16,0,1,6,3.97,2,0,139,390.6687658288554
24,12,2,1,10,3.6,1,1,45,212.16652497375452
48,19,1,0,72,3.81,3,1,65,235.65813370551408
56,13,0,1,36,4.81,1,0,162,406.5574980533908
72,33,0,0,66,4.39,2,1,30,182.4744270596517
97,75,2,2,76,4.7,3,0,158,652.617297300081
62,33,1,1,39,3.91,1,1,129,403.22709836941993
57,38,1,2,54,4.1,3,1,131,537.7848594528473
25,7,1,2,13,3.99,2,1,81,286.13145256368455
75,56,1,0,94,4.79,1,1,153,485.0546633356366
39,9,2,0,39,4.64,0,1,48,171.0859835160851
35,24,1,0,73,3.76,1,1,105,485.8784537318511
68,32,1,1,34,3.58,2,0,77,294.7328864777875
