Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,static_price,duration_factor,loyalty_factor,past_rides_factor,location_factor,baseline_price,historical_price,baseline_revenue,historical_revenue
90,45,2,2,13,4.47,3,1,90,284.25727302188227,200,45.0,0.9,0.987,1.2,261.1602,284.25727302188227,261.1602,284.25727302188227
58,39,1,2,72,4.06,1,0,43,173.87475274940766,200,21.5,0.9,0.9279999999999999,1.1,203.49648,173.87475274940766,203.49648,173.87475274940766
42,31,0,2,0,3.99,0,1,76,329.7954689622466,200,38.0,0.9,1.0,1.0,214.20000000000002,329.7954689622466,214.20000000000002,329.7954689622466
89,28,0,1,67,4.31,0,1,134,470.2012317513198,200,67.0,0.95,0.933,1.0,236.65545,470.2012317513198,236.65545,470.2012317513198
78,22,0,1,74,3.77,0,0,149,579.6814223640141,200,74.5,0.95,0.926,1.0,241.47764999999998,579.6814223640141,241.47764999999998,579.6814223640141
59,35,2,2,83,3.51,3,0,128,339.9553606047221,200,64.0,0.9,0.917,1.2,261.45504,339.9553606047221,261.45504,339.9553606047221
93,43,1,1,44,4.41,0,1,16,104.06154127359152,200,8.0,0.95,0.956,1.1,207.79616000000001,104.06154127359152,207.79616000000001,104.06154127359152
62,39,0,0,83,3.59,0,1,47,235.81186355605,200,23.5,1.0,0.917,1.0,204.9495,235.81186355605,204.9495,235.81186355605
79,14,0,2,71,3.74,1,0,128,501.4125174833056,200,64.0,0.9,0.929,1.0,220.7304,501.4125174833056,220.7304,501.4125174833056
42,6,0,2,21,3.85,3,1,128,398.9933645706103,200,64.0,0.9,0.979,1.0,232.6104,398.9933645706103,232.6104,398.9933645706103
86,17,2,1,99,4.69,2,0,167,669.2986264658781,200,83.5,0.95,0.901,1.2,291.19419,669.2986264658781,291.19419,669.2986264658781
60,38,0,0,15,4.14,1,1,144,414.9901047325251,200,72.0,1.0,0.985,1.0,267.92,414.9901047325251,267.92,414.9901047325251
24,8,0,0,50,4.12,2,0,164,490.41072171830416,200,82.0,1.0,0.95,1.0,267.9,490.41072171830416,267.9,490.41072171830416
36,24,1,2,88,4.22,3,1,83,296.24287599192223,200,41.5,0.9,0.912,1.1,218.04552,296.24287599192223,218.04552,296.24287599192223
