Number_of_Riders,Number_of_Drivers,Number_of_Past_Rides,Average_Ratings,Expected_Ride_Duration,Historical_Cost_of_Ride,Location_Category_Suburban,Location_Category_Urban,Customer_Loyalty_Status_Regular,Customer_Loyalty_Status_Silver,Time_of_Booking_Evening,Time_of_Booking_Morning,Time_of_Booking_Night,Vehicle_Type_Premium,Demand_Ratio,Baseline_Price,Baseline_Revenue,Revenue_Lift
90,45,13,4.47,90,284.25727302188227,False,True,False,True,False,False,True,True,1.9565217391304348,398.2213684302076,398.2213684302076,0.4009188373503896
58,39,72,4.06,43,173.87475274940766,True,False,False,True,True,False,False,False,1.45,398.2213684302076,398.2213684302076,1.2902771226604328
42,31,0,3.99,76,329.7954689622466,False,False,False,True,False,False,False,True,1.3125,398.2213684302076,398.2213684302076,0.20747980462943846
89,28,67,4.31,134,470.2012317513198,False,False,True,False,False,False,False,True,3.0689655172413794,398.2213684302076,398.2213684302076,-0.15308310242619905
78,22,74,3.77,149,579.6814223640141,False,False,True,False,False,False,False,False,3.391304347826087,398.2213684302076,398.2213684302076,-0.31303410275559546
59,35,83,3.51,128,339.9553606047221,False,True,False,True,False,False,True,False,1.6388888888888888,398.2213684302076,398.2213684302076,0.1713931138542433
93,43,44,4.41,16,104.06154127359152,True,False,True,False,False,False,False,True,2.1136363636363638,398.2213684302076,398.2213684302076,2.826787144957147
62,39,83,3.59,47,235.81186355605,False,False,False,False,False,False,False,True,1.55,398.2213684302076,398.2213684302076,0.6887249115672864
79,14,71,3.74,128,501.4125174833056,False,False,False,True,True,False,False,False,5.266666666666667,398.2213684302076,398.2213684302076,-0.20580090335804935
42,6,21,3.85,128,398.9933645706103,False,False,False,True,False,False,True,True,6.0,398.2213684302076,398.2213684302076,-0.001934859596558813
86,17,99,4.69,167,669.2986264658781,False,True,True,False,False,True,False,False,4.777777777777778,398.2213684302076,398.2213684302076,-0.4050169047366041
60,38,15,4.14,144,414.9901047325251,False,False,False,False,True,False,False,True,1.5384615384615385,398.2213684302076,398.2213684302076,-0.04040755697807666
24,8,50,4.12,164,490.41072171830416,False,False,False,False,False,True,False,False,2.6666666666666665,398.2213684302076,398.2213684302076,-0.18798396773439813
36,24,88,4.22,83,296.24287599192223,True,False,False,True,False,False,True,True,1.44,398.2213684302076,398.2213684302076,0.34423947612858724
63,13,74,4.95,102,327.0888648717375,False,False,True,False,False,False,False,True,4.5,398.2213684302076,398.2213684302076,0.21747149230030663
39,12,30,4.51,140,445.1368684239125,False,True,False,True,False,False,False,True,3.0,398.2213684302076,398.2213684302076,-0.10539567337978034
38,28,35,3.93,54,244.5361718306458,False,False,False,True,False,False,False,True,1.3103448275862069,398.2213684302076,398.2213684302076,0.6284763331700346
46,14,21,4.71,15,47.31430863361691,True,False,False,True,False,False,False,False,3.066666666666667,398.2213684302076,398.2213684302076,7.416510352372992
33,7,49,4.31,22,129.8082629093964,True,False,False,False,True,False,False,True,4.125,398.2213684302076,398.2213684302076,2.0677659457484476
31,7,24,4.82,87,382.9481103198511,True,False,False,True,True,False,False,True,3.875,398.2213684302076,398.2213684302076,0.03988336199805179
96,45,6,4.95,11,82.77279318243978,False,True,True,False,False,False,False,True,2.0869565217391304,398.2213684302076,398.2213684302076,3.8110176438348113
22,11,79,4.48,15,64.07117255500656,True,False,False,True,False,False,True,False,1.8333333333333333,398.2213684302076,398.2213684302076,5.215297029070687
74,16,6,3.97,139,390.6687658288554,False,False,True,False,False,True,False,False,4.352941176470588,398.2213684302076,398.2213684302076,0.019332496636449415
24,12,10,3.6,45,212.16652497375452,False,True,True,False,True,False,False,True,1.8461538461538463,398.2213684302076,398.2213684302076,0.8769283631311229
48,19,72,3.81,65,235.65813370551408,True,False,False,False,False,False,True,True,2.4,398.2213684302076,398.2213684302076,0.689826538844773
56,13,36,4.81,162,406.5574980533908,False,False,True,False,True,False,False,False,4.0,398.2213684302076,398.2213684302076,-0.02050418369627143
72,33,66,4.39,30,182.4744270596517,False,False,False,False,False,True,False,True,2.1176470588235294,398.2213684302076,398.2213684302076,1.1823406975270416
97,75,76,4.7,158,652.617297300081,False,True,False,True,False,False,True,False,1.2763157894736843,398.2213684302076,398.2213684302076,-0.38980874384164416
62,33,39,3.91,129,403.22709836941993,True,False,True,False,True,False,False,True,1.8235294117647058,398.2213684302076,398.2213684302076,-0.012414170474788667
57,38,54,4.1,131,537.7848594528473,True,False,False,True,False,False,True,True,1.4615384615384615,398.2213684302076,398.2213684302076,-0.25951547086066035
25,7,13,3.99,81,286.13145256368455,True,False,False,True,False,True,False,True,3.125,398.2213684302076,398.2213684302076,0.3917427282538087
75,56,94,4.79,153,485.0546633356366,True,False,False,False,True,False,False,True,1.3157894736842106,398.2213684302076,398.2213684302076,-0.17901754476143272
39,9,39,4.64,48,171.0859835160851,False,True,False,False,False,False,False,True,3.9,398.2213684302076,398.2213684302076,1.3276095460664534
35,24,73,3.76,105,485.8784537318511,True,False,False,False,True,False,False,True,1.4,398.2213684302076,398.2213684302076,-0.18040949259713443
68,32,34,3.58,77,294.7328864777875,True,False,True,False,False,True,False,False,2.0606060606060606,398.2213684302076,398.2213684302076,0.35112634761991346
96,43,97,3.68,91,392.83872040801793,False,False,False,True,False,True,False,True,2.1818181818181817,398.2213684302076,398.2213684302076,0.013701928406138299
28,11,52,4.33,94,456.1809467866996,True,False,False,False,False,False,False,True,2.3333333333333335,398.2213684302076,398.2213684302076,-0.12705392183683792
25,15,65,4.88,101,502.5293207873477,False,False,False,False,True,False,False,True,1.5625,398.2213684302076,398.2213684302076,-0.20756590320682894
28,6,2,4.29,89,244.21766165291973,True,False,True,False,False,True,False,False,4.0,398.2213684302076,398.2213684302076,0.630600202028618
73,17,14,4.81,170,634.7265312250814,False,False,True,False,True,False,False,True,4.055555555555555,398.2213684302076,398.2213684302076,-0.372609543102597
36,18,88,3.73,92,345.40676830595487,False,True,False,True,False,False,True,True,1.894736842105263,398.2213684302076,398.2213684302076,0.15290551596102633
56,10,55,4.5,45,151.15212964816465,False,True,False,True,False,False,True,False,5.090909090909091,398.2213684302076,398.2213684302076,1.6345733226329235
97,81,52,4.56,125,530.7599938912294,True,False,True,False,True,False,False,False,1.1829268292682926,398.2213684302076,398.2213684302076,-0.24971479950725806
63,9,89,3.87,166,482.85016419959805,False,False,True,False,False,False,False,True,6.3,398.2213684302076,398.2213684302076,-0.17526926993941555
78,33,35,4.46,116,355.9595074862448,False,True,False,True,False,True,False,True,2.2941176470588234,398.2213684302076,398.2213684302076,0.11872659686044743
29,10,25,3.77,91,303.9609626071891,True,False,True,False,False,False,False,False,2.6363636363636362,398.2213684302076,398.2213684302076,0.310106946018696
