Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,price_ratio,adjusted_price,demand_ratio,demand_factor,time_factor,engine_price,static_revenue,dynamic_revenue,revenue_lift_pct
90,45,2,2,13,4.47,3,1,90,284.25727302188227,0.5,284.25727302188227,1.9999995555556542,1.0,0.9,255.83154571969405,284.25727302188227,255.83154571969405,-9.999999999999998
58,39,1,2,72,4.06,1,0,43,173.87475274940766,0.2388888888888889,173.87475274940766,1.4871791058515111,1.0,0.9,156.4872774744669,173.87475274940766,156.4872774744669,-9.999999999999993
42,31,0,2,0,3.99,0,1,76,329.7954689622466,0.4222222222222222,329.7954689622466,1.3548382726328152,1.0,0.9,296.815922066022,329.7954689622466,296.815922066022,-9.999999999999991
89,28,0,1,67,4.31,0,1,134,470.2012317513198,0.7444444444444445,470.2012317513198,3.1785702933677524,1.3,0.9,550.1354411490441,470.2012317513198,550.1354411490441,16.999999999999986
78,22,0,1,74,3.77,0,0,149,579.6814223640141,0.8277777777777777,579.6814223640141,3.5454529338850302,1.3,0.9,678.2272641658965,579.6814223640141,678.2272641658965,16.999999999999996
59,35,2,2,83,3.51,3,0,128,339.9553606047221,0.7111111111111111,339.9553606047221,1.68571380408177,1.0,0.9,305.9598245442499,339.9553606047221,305.9598245442499,-9.999999999999998
93,43,1,1,44,4.41,0,1,16,104.06154127359152,0.0888888888888888,104.06154127359152,2.1627901946999546,1.15,0.9,107.70369521816721,104.06154127359152,107.70369521816721,3.4999999999999933
62,39,0,0,83,3.59,0,1,47,235.81186355605,0.2611111111111111,235.81186355605,1.5897431821171326,1.0,0.9,212.23067720044503,235.81186355605,212.23067720044503,-9.999999999999993
79,14,0,2,71,3.74,1,0,128,501.4125174833056,0.7111111111111111,501.4125174833056,5.642853112247777,1.3,0.9,586.6526454554676,501.4125174833056,586.6526454554676,17.000000000000007
42,6,0,2,21,3.85,3,1,128,398.9933645706103,0.7111111111111111,398.9933645706103,6.999988333352778,1.3,0.9,466.8222365476141,398.9933645706103,466.8222365476141,17.000000000000014
86,17,2,1,99,4.69,2,0,167,669.2986264658781,0.9277777777777778,669.2986264658781,5.058820553634969,1.3,0.9,783.0793929650774,669.2986264658781,783.0793929650774,17.000000000000007
60,38,0,0,15,4.14,1,1,144,414.9901047325251,0.8,414.9901047325251,1.5789469529086966,1.0,0.9,373.4910942592726,414.9901047325251,373.4910942592726,-9.999999999999998
24,8,0,0,50,4.12,2,0,164,490.41072171830416,0.9111111111111112,490.41072171830416,2.9999962500046875,1.15,0.9,507.5750969784448,490.41072171830416,507.5750969784448,3.4999999999999942
36,24,1,2,88,4.22,3,1,83,296.24287599192223,0.4611111111111111,296.24287599192223,1.4999993750002605,1.0,0.9,266.61858839273003,296.24287599192223,266.61858839273003,-9.999999999999993
63,13,0,1,74,4.95,0,1,102,327.0888648717375,0.5666666666666667,327.0888648717375,4.846150118346063,1.3,0.9,382.6939718999329,327.0888648717375,382.6939718999329,17.000000000000007
39,12,2,2,30,4.51,0,1,140,445.1368684239125,0.7777777777777778,445.1368684239125,3.2499972916689237,1.3,0.9,520.8101360559776,445.1368684239125,520.8101360559776,17.0
38,28,0,2,35,3.93,0,1,54,244.5361718306458,0.3,244.5361718306458,1.3571423724491527,1.0,0.9,220.08255464758122,244.5361718306458,220.08255464758122,-10.0
46,14,1,2,21,4.71,0,0,15,47.31430863361691,0.0833333333333333,47.31430863361691,3.2857119387771867,1.3,0.9,55.35774110133179,47.31430863361691,55.35774110133179,17.00000000000001
33,7,1,0,49,4.31,1,1,22,129.8082629093964,0.1222222222222222,129.8082629093964,4.714278979601458,1.3,0.9,151.8756676039938,129.8082629093964,151.8756676039938,17.00000000000001
31,7,1,2,24,4.82,1,1,87,382.9481103198511,0.4833333333333333,382.9481103198511,4.428565102049855,1.3,0.9,448.0492890742258,382.9481103198511,448.0492890742258,17.000000000000004
96,45,2,1,6,4.95,0,1,11,82.77279318243978,0.0611111111111111,82.77279318243978,2.1333328592593643,1.15,0.9,85.66984094382518,82.77279318243978,85.66984094382518,3.500000000000002
22,11,1,2,79,4.48,3,0,15,64.07117255500656,0.0833333333333333,64.07117255500656,1.9999981818198347,1.0,0.9,57.664055299505904,64.07117255500656,57.664055299505904,-9.999999999999993
74,16,0,1,6,3.97,2,0,139,390.6687658288554,0.7722222222222223,390.6687658288554,4.624997109376807,1.3,0.9,457.08245601976085,390.6687658288554,457.08245601976085,17.000000000000014
24,12,2,1,10,3.6,1,1,45,212.1665249737545,0.25,212.1665249737545,1.9999983333347222,1.0,0.9,190.94987247637906,212.1665249737545,190.94987247637906,-9.999999999999993
48,19,1,0,72,3.81,3,1,65,235.65813370551408,0.3611111111111111,235.65813370551408,2.5263144598344947,1.15,0.9,243.90616838520705,235.65813370551408,243.90616838520705,3.4999999999999942
56,13,0,1,36,4.81,1,0,162,406.5574980533908,0.9,406.5574980533908,4.307688994085389,1.3,0.9,475.6722727224673,406.5574980533908,475.6722727224673,17.000000000000014
72,33,0,0,66,4.39,2,1,30,182.4744270596517,0.1666666666666666,182.4744270596517,2.1818175206613573,1.15,0.9,188.8610320067395,182.4744270596517,188.8610320067395,3.4999999999999893
97,75,2,2,76,4.7,3,0,158,652.617297300081,0.8777777777777778,652.617297300081,1.2933331608889118,1.0,0.9,587.3555675700729,652.617297300081,587.3555675700729,-9.99999999999999
62,33,1,1,39,3.91,1,1,129,403.22709836941993,0.7166666666666667,403.22709836941993,1.878787309458391,1.0,0.9,362.9043885324779,403.22709836941993,362.9043885324779,-10.000000000000005
57,38,1,2,54,4.1,3,1,131,537.7848594528473,0.7277777777777777,537.7848594528473,1.4999996052632616,1.0,0.9,484.00637350756256,537.7848594528473,484.00637350756256,-10.0
25,7,1,2,13,3.99,2,1,81,286.13145256368455,0.45,286.13145256368455,3.571423469395044,1.3,0.9,334.7737994995109,286.13145256368455,334.7737994995109,17.0
75,56,1,0,94,4.79,1,1,153,485.0546633356366,0.85,485.0546633356366,1.3392854751275935,1.0,0.9,436.5491970020729,485.0546633356366,436.5491970020729,-10.000000000000004
39,9,2,0,39,4.64,0,1,48,171.0859835160851,0.2666666666666666,171.0859835160851,4.333328518523868,1.3,0.9,200.17060071381957,171.0859835160851,200.17060071381957,17.000000000000004
35,24,1,0,73,3.76,1,1,105,485.8784537318511,0.5833333333333334,485.8784537318511,1.4583327256946976,1.0,0.9,437.290608358666,485.8784537318511,437.290608358666,-9.999999999999993
68,32,1,1,34,3.58,2,0,77,294.7328864777875,0.4277777777777777,294.7328864777875,2.1249993359377073,1.15,0.9,305.04853750451,294.7328864777875,305.04853750451,3.4999999999999956
96,43,0,2,97,3.68,2,1,91,392.83872040801793,0.5055555555555555,392.83872040801793,2.232557620335437,1.15,0.9,406.5880756222985,392.83872040801793,406.5880756222985,3.499999999999985
28,11,1,0,52,4.33,0,1,94,456.1809467866996,0.5222222222222223,456.1809467866996,2.5454522314070624,1.15,0.9,472.14727992423406,456.1809467866996,472.14727992423406,3.4999999999999885
25,15,0,0,65,4.88,1,1,101,502.5293207873477,0.5611111111111111,502.5293207873477,1.6666655555562964,1.0,0.9,452.2763887086129,502.5293207873477,452.2763887086129,-10.0
28,6,1,1,2,4.29,2,0,89,244.21766165291973,0.4944444444444444,244.21766165291973,4.6666588889018525,1.3,0.9,285.7346641339161,244.21766165291973,285.7346641339161,17.00000000000001
73,17,0,1,14,4.81,1,1,170,634.7265312250814,0.9444444444444444,634.7265312250814,4.294115121108752,1.3,0.9,742.6300415333453,634.7265312250814,742.6300415333453,17.000000000000007
36,18,2,2,88,3.73,3,1,92,345.40676830595487,0.5111111111111111,345.40676830595487,1.9999988888895062,1.0,0.9,310.8660914753594,345.40676830595487,310.8660914753594,-10.0
56,10,2,2,55,4.5,3,0,45,151.15212964816465,0.25,151.15212964816465,5.5999944000056,1.3,0.9,176.84799168835264,151.15212964816465,176.84799168835264,17.0
97,81,1,1,52,4.56,1,0,125,530.7599938912294,0.6944444444444444,530.7599938912294,1.1975307163542326,1.0,0.9,477.6839945021065,530.7599938912294,477.6839945021065,-10.000000000000002
63,9,0,1,89,3.87,0,1,166,482.85016419959805,0.9222222222222224,482.85016419959805,6.999992222230865,1.3,0.9,564.9346921135298,482.85016419959805,564.9346921135298,17.000000000000007
78,33,2,2,35,4.46,2,1,116,355.9595074862448,0.6444444444444445,355.9595074862448,2.363635647383137,1.15,0.9,368.41809024826335,355.9595074862448,368.41809024826335,3.500000000000004
29,10,1,1,25,3.77,0,0,91,303.9609626071891,0.5055555555555555,303.9609626071891,2.8999971000029,1.15,0.9,314.5995962984407,303.9609626071891,314.5995962984407,3.4999999999999885
73,33,1,2,60,3.88,3,1,161,514.8771742414517,0.8944444444444445,514.8771742414517,2.212120541781654,1.15,0.9,532.8978753399025,514.8771742414517,532.8978753399025,3.4999999999999956
94,29,2,1,67,3.59,1,1,96,361.13235495172165,0.5333333333333333,361.13235495172165,3.2413781926282095,1.3,0.9,422.52485529351435,361.13235495172165,422.52485529351435,17.000000000000004
54,28,1,2,83,4.49,3,0,32,80.26246462184758,0.1777777777777777,80.26246462184758,1.9285707397961644,1.0,0.9,72.23621815966283,80.26246462184758,72.23621815966283,-10.0
67,6,0,0,15,3.53,3,0,123,420.6239113101238,0.6833333333333333,420.6239113101238,11.166648055586574,1.3,0.9,492.1299762328449,420.6239113101238,492.1299762328449,17.000000000000018
23,8,2,2,27,4.73,0,0,117,520.8926706123274,0.65,520.8926706123274,2.874996406254492,1.15,0.9,539.1239140837588,520.8926706123274,539.1239140837588,3.499999999999991
70,14,2,2,16,4.3,2,0,53,183.07579104191225,0.2944444444444444,183.07579104191225,4.999996428573979,1.3,0.9,214.19867551903735,183.07579104191225,214.19867551903735,17.000000000000007
20,10,0,2,70,4.92,1,0,65,190.13746358777752,0.3611111111111111,190.13746358777752,1.9999980000020001,1.0,0.9,171.12371722899977,190.13746358777752,171.12371722899977,-10.0
95,84,1,0,18,3.86,0,1,112,522.3021028701461,0.6222222222222222,522.3021028701461,1.1309522463152086,1.0,0.9,470.0718925831315,522.3021028701461,470.0718925831315,-9.999999999999995
43,16,2,2,40,4.89,3,1,106,410.6863449474928,0.5888888888888889,410.6863449474928,2.68749832031355,1.15,0.9,425.060367020655,410.6863449474928,425.060367020655,3.4999999999999942
97,55,1,2,94,4.62,1,1,150,584.9958711291002,0.8333333333333334,584.9958711291002,1.7636360429752649,1.0,0.9,526.4962840161902,584.9958711291002,526.4962840161902,-10.000000000000002
32,20,0,2,44,3.55,3,0,68,301.62262644973293,0.3777777777777777,301.62262644973293,1.5999992000004,1.0,0.9,271.46036380475965,301.62262644973293,271.46036380475965,-9.999999999999996
95,25,1,1,72,4.16,2,1,128,413.5870840445325,0.7111111111111111,413.5870840445325,3.799998480000608,1.3,0.9,483.89688833210306,413.5870840445325,483.89688833210306,17.000000000000007
47,15,2,0,14,4.84,3,0,89,273.11810461931896,0.4944444444444444,273.11810461931896,3.133331244445837,1.3,0.9,319.5481824046032,273.11810461931896,319.5481824046032,17.00000000000001
25,11,0,2,33,3.85,3,0,94,247.1745626508575,0.5222222222222223,247.1745626508575,2.2727252066134485,1.15,0.9,255.8256723436375,247.1745626508575,255.8256723436375,3.4999999999999996
37,22,0,1,76,4.72,0,0,69,213.4432507972432,0.3833333333333333,213.4432507972432,1.6818174173557194,1.0,0.9,192.09892571751888,213.4432507972432,192.09892571751888,-9.999999999999998
59,39,1,0,49,3.78,2,1,98,295.79438015283176,0.5444444444444444,295.79438015283176,1.5128201249179165,1.0,0.9,266.2149421375486,295.79438015283176,266.2149421375486,-10.000000000000004
42,20,2,2,88,4.64,3,1,29,145.0698091748401,0.1611111111111111,145.0698091748401,2.099998950000525,1.15,0.9,150.1472524959595,145.0698091748401,150.1472524959595,3.5000000000000004
53,11,0,1,2,3.5,0,1,81,297.0186264188845,0.45,297.0186264188845,4.818177438020511,1.3,0.9,347.51179291009487,297.0186264188845,347.51179291009487,17.00000000000001
79,64,0,1,91,4.57,3,0,164,666.6870291344428,0.9111111111111112,666.6870291344428,1.2343748071289364,1.0,0.9,600.0183262209986,666.6870291344428,600.0183262209986,-9.999999999999993
59,23,2,0,41,4.97,1,1,91,449.5456339145253,0.5055555555555555,449.5456339145253,2.5652162759929236,1.15,0.9,465.2797311015337,449.5456339145253,465.2797311015337,3.5000000000000004
